Term	S	tf	df	idf	tf-idf*	tf/S	df/S	(tf*df)/S^2
factor	4507	814	137	1,517166991	1234,973931	0,180607943	0,03039716	0,005489969
fasten	4507	745	122	1,567527727	1167,808157	0,165298425	0,027069004	0,004474464
fastener	4507	935	88	1,709404886	1598,293568	0,20745507	0,019525183	0,004050598
feature	4507	5287	438	1,012413448	5352,629897	1,173064122	0,097182161	0,114000907
feed	4507	778	84	1,729608272	1345,635236	0,172620368	0,018637675	0,003217242
feedback	4507	415	71	1,802629209	748,0911219	0,092078988	0,015753273	0,001450545
field	4507	6427	796	0,75297449	4839,367049	1,426003994	0,176614156	0,251852491
file	4507	1153	81	1,745402539	2012,449128	0,255824273	0,017972043	0,004597685
film	4507	1542	150	1,477796299	2278,761893	0,342134458	0,033281562	0,011386769
filter	4507	5628	542	0,919888272	5177,131192	1,248724207	0,120257377	0,150168298
finder	4507	275	30	2,176766303	598,6107334	0,061016197	0,006656312	0,000406143
finger	4507	338	47	1,9817897	669,8449186	0,074994453	0,010428223	0,000782059
fitting	4507	354	72	1,796555062	635,9804918	0,078544486	0,01597515	0,00125476
fixture	4507	313	35	2,109819514	660,3735078	0,069447526	0,007765698	0,000539309
flange	4507	568	80	1,750797571	994,4530204	0,126026181	0,017750166	0,002236986
flash	4507	1229	111	1,608564579	1976,925868	0,272686931	0,024628356	0,006715831
flat	4507	577	171	1,420891448	819,8543653	0,128023075	0,037940981	0,004857321
flexible	4507	1172	218	1,315431064	1541,685208	0,260039938	0,048369203	0,012577925
float	4507	650	66	1,834343623	1192,323355	0,144220102	0,014643887	0,002111943
flow	4507	768	128	1,546677588	1187,848388	0,170401598	0,028400266	0,004839451
fluid	4507	735	70	1,808789518	1329,460296	0,163079654	0,015531396	0,002532855
focal	4507	3793	476	0,976280605	3703,032336	0,841579765	0,10561349	0,088882176
focus	4507	4915	526	0,932901814	4585,212415	1,090525849	0,116707344	0,127272376
fold	4507	552	78	1,761792955	972,5097114	0,122476148	0,017306412	0,002119623
foot	4507	239	31	2,162525864	516,8436816	0,053028622	0,006878189	0,000364741
force	4507	1264	277	1,211407789	1531,219445	0,280452629	0,061459951	0,017236605
foreground	4507	397	46	1,991129726	790,4785014	0,088085201	0,010206346	0,000899028
form	4507	8452	1711	0,420637549	3555,22856	1,875305081	0,379631684	0,711925226
format	4507	379	98	1,662661482	630,1487018	0,084091413	0,021743954	0,00182848
forward	4507	956	190	1,375133957	1314,628063	0,212114489	0,042156645	0,008942035
frame	4507	10967	733	0,788783583	8650,589559	2,433325937	0,1626359	0,395746153
freedom	4507	456	50	1,954917554	891,4424045	0,101175949	0,011093854	0,001122431
frequency	4507	1543	220	1,311464877	2023,590306	0,342356335	0,048812958	0,016711425
friction	4507	320	51	1,946317382	622,8215622	0,071000666	0,011315731	0,000803424
front	4507	4775	573	0,895732936	4277,12477	1,059463057	0,127135567	0,134695436
function	4507	3411	593	0,880832865	3004,520902	0,75682272	0,131573108	0,099577518
fundus	4507	186	11	2,612494873	485,9240464	0,041269137	0,002440648	0,000100723
gain	4507	852	125	1,556977545	1326,544868	0,189039272	0,027734635	0,005242935
game	4507	217	26	2,23891421	485,8443836	0,048147326	0,005768804	0,000277752
gaming	4507	105	13	2,539944206	266,6941416	0,023297093	0,002884402	6,71982E-05
gamma	4507	369	40	2,051827567	757,1243721	0,081872643	0,008875083	0,000726627
gate	4507	978	108	1,620463803	1584,813599	0,216995784	0,023962725	0,00519981
gaze	4507	416	37	2,085685834	867,6453069	0,092300865	0,008209452	0,00075774
gear	4507	890	88	1,709404886	1521,370348	0,197470601	0,019525183	0,00385565
generate	4507	9440	1446	0,493719265	4660,709863	2,094519636	0,320834258	0,671993653
generation	4507	605	111	1,608564579	973,1815705	0,134235633	0,024628356	0,003306003
generator	4507	447	79	1,756260467	785,0484287	0,099179055	0,017528289	0,001738439
geometric	4507	601	96	1,671616325	1004,641411	0,133348125	0,0213002	0,002840342
gesture	4507	1483	95	1,676163953	2485,751142	0,32904371	0,021078323	0,006935689
gimbal	4507	282	24	2,273676316	641,1767212	0,062569337	0,00532505	0,000333185
glass	4507	746	135	1,52355379	1136,571127	0,165520302	0,029953406	0,004957897
gradient	4507	438	52	1,937884214	848,7932859	0,097182161	0,011537608	0,00112125
graphic	4507	339	57	1,898012702	643,4263061	0,07521633	0,012646994	0,00095126
green	4507	567	107	1,62450378	921,0936435	0,125804304	0,023740848	0,002986701
grid	4507	548	60	1,875736308	1027,903497	0,12158864	0,013312625	0,001618664
grip	4507	476	82	1,740073706	828,2750839	0,10561349	0,018193921	0,001921523
groove	4507	1278	200	1,352857562	1728,951965	0,283558908	0,044375416	0,012583045
ground	4507	933	172	1,418359111	1323,329051	0,207011316	0,038162858	0,007900143
group	4507	5635	514	0,942924439	5313,379214	1,250277346	0,114044819	0,142587654
guide	4507	2048	291	1,189994569	2437,108877	0,45440426	0,06456623	0,02933917
half	4507	288	103	1,641050333	472,622496	0,063900599	0,022853339	0,001460342
hand	4507	595	106	1,628581693	969,0061072	0,132016863	0,02351897	0,003104901
handheld	4507	607	81	1,745402539	1059,459341	0,134679388	0,017972043	0,002420464
handle	4507	850	130	1,539944206	1308,952575	0,188595518	0,02884402	0,005439853
hardware	4507	333	88	1,709404886	569,231827	0,073885068	0,019525183	0,001442619
head	4507	2139	231	1,290275578	2759,899462	0,474595074	0,051253606	0,024324709
heat	4507	1179	156	1,46076296	1722,23953	0,261593077	0,034612824	0,009054475
height	4507	1476	273	1,217724911	1797,361969	0,32749057	0,060572443	0,019836904
held	4507	449	171	1,420891448	637,98026	0,099622809	0,037940981	0,003779787
hinge	4507	462	84	1,729608272	799,0790217	0,102507211	0,018637675	0,001910496
histogram	4507	385	53	1,929611688	742,9005001	0,085422676	0,011759485	0,001004527
hold	4507	1998	342	1,119861452	2237,483181	0,443310406	0,075881961	0,033639263
holder	4507	2797	218	1,315431064	3679,260687	0,620590193	0,048369203	0,030017453
hole	4507	2622	390	1,062822951	2786,721778	0,581761704	0,086532061	0,050341039
hollow	4507	349	81	1,745402539	609,1454862	0,077435101	0,017972043	0,001391667
hook	4507	289	47	1,9817897	572,7372233	0,064122476	0,010428223	0,000668683
horizontal	4507	2159	347	1,113558083	2404,171902	0,479032616	0,076991347	0,036881366
host	4507	389	48	1,972646321	767,3594188	0,086310184	0,0106501	0,000919212
house	4507	12265	868	0,715367833	8773,98647	2,721322387	0,192589306	0,524097589
human	4507	623	92	1,690099731	1052,932132	0,138229421	0,020412691	0,002821635
icon	4507	276	40	2,051827567	566,3044084	0,061238074	0,008875083	0,000543493
identification	4507	575	136	1,52034865	874,2004736	0,127579321	0,030175283	0,003849742
identifier	4507	760	85	1,724468632	1310,596161	0,168626581	0,018859552	0,003180222
identify	4507	4139	601	0,875013086	3621,679163	0,918349235	0,133348125	0,122460149
illuminate	4507	1143	241	1,271870515	1453,747999	0,253605503	0,053472376	0,013560889
illumination	4507	2259	218	1,315431064	2971,558775	0,501220324	0,048369203	0,024243628
illuminator	4507	378	39	2,062822951	779,7470755	0,083869536	0,008653206	0,00072574
image	4507	89874	3320	0,132749474	11930,72626	19,9409807	0,736631906	14,68916262
imager	4507	1755	124	1,560465873	2738,617607	0,389394276	0,027512758	0,01071331
imaging	4507	10455	927	0,686807824	7180,575799	2,319724872	0,205680053	0,477121135
implement	4507	651	301	1,175321062	765,1340117	0,144441979	0,066785001	0,009646558
impurity	4507	300	26	2,23891421	671,674263	0,066563124	0,005768804	0,00038399
incident	4507	1307	301	1,175321062	1536,144629	0,289993344	0,066785001	0,019367206
incline	4507	392	87	1,714368305	672,0323757	0,086975815	0,019303306	0,001678921
include	4507	26534	3828	0,070915629	1881,675299	5,887286443	0,849345463	5,000340028
increase	4507	972	309	1,163929079	1131,339064	0,215664522	0,068560018	0,014785963
indicate	4507	2445	553	0,911162427	2227,792133	0,542489461	0,122698025	0,066562386
indication	4507	1002	190	1,375133957	1377,884225	0,222320834	0,042156645	0,009372301
indicative	4507	590	143	1,498551521	884,1453972	0,130907477	0,031728422	0,004153488
indicator	4507	988	128	1,546677588	1528,117457	0,219214555	0,028400266	0,006225752
individual	4507	737	152	1,47204397	1084,896406	0,163523408	0,033725316	0,005514879
inertial	4507	303	52	1,937884214	587,178917	0,067228755	0,011537608	0,000775659
initialization	4507	271	37	2,085685834	565,220861	0,060128689	0,008209452	0,000493624
initiate	4507	434	137	1,517166991	658,4504741	0,096294653	0,03039716	0,002927084
inner	4507	2647	436	1,014401069	2685,119629	0,587308631	0,096738407	0,056815301
input	4507	5487	744	0,782314623	4292,560334	1,217439538	0,165076548	0,200970716
insert	4507	860	303	1,17244493	1008,302639	0,190814289	0,067228755	0,012828207
insertion	4507	312	80	1,750797571	546,2488422	0,069225649	0,017750166	0,001228767
inside	4507	1151	397	1,055097051	1214,416706	0,255380519	0,088085201	0,022495244
install	4507	689	206	1,340020338	923,2740127	0,152873308	0,045706679	0,006987331
installation	4507	263	71	1,802629209	474,0914821	0,058353672	0,015753273	0,000919261
instruct	4507	238	84	1,729608272	411,6467687	0,052806745	0,018637675	0,000984195
instruction	4507	4594	883	0,707926854	3252,21597	1,019303306	0,195917462	0,199699316
instrument	4507	353	36	2,097585057	740,4475252	0,078322609	0,007987575	0,000625608
insulate	4507	547	75	1,778826295	973,0179832	0,121366763	0,016640781	0,002019638
integrate	4507	1242	354	1,104884296	1372,266296	0,275571333	0,078544486	0,021644609
integration	4507	255	57	1,898012702	483,9932391	0,056578655	0,012646994	0,00071555
intensity	4507	1576	211	1,329605103	2095,457642	0,349678278	0,046816064	0,016370561
interchangeable	4507	1196	110	1,612494873	1928,543868	0,265364988	0,024406479	0,006476625
interest	4507	2111	195	1,363852947	2879,093571	0,468382516	0,043266031	0,020265052
interface	4507	3704	561	0,904924697	3351,841077	0,821832705	0,124473042	0,102296017
interior	4507	1121	202	1,348536189	1511,709067	0,248724207	0,04481917	0,011147613
intermediate	4507	530	91	1,694846166	898,2684678	0,117594852	0,020190814	0,002374336
internet	4507	428	66	1,834343623	785,0990704	0,09496339	0,014643887	0,001390633
interpolate	4507	247	48	1,972646321	487,2436412	0,054803639	0,0106501	0,000583664
interpolation	4507	190	57	1,898012702	360,6224135	0,042156645	0,012646994	0,000533155
intersect	4507	364	105	1,632698259	594,3021663	0,080763257	0,023297093	0,001881549
intersection	4507	378	83	1,734809466	655,757978	0,083869536	0,018415798	0,001544524
interval	4507	952	203	1,34639152	1281,764727	0,21122698	0,045041047	0,009513884
iris	4507	419	38	2,074103961	869,0495598	0,092966497	0,008431329	0,000783831
item	4507	531	65	1,840974201	977,557301	0,11781673	0,01442201	0,001699154
join	4507	475	94	1,680759704	798,3608596	0,105391613	0,020856446	0,002198094
joint	4507	810	96	1,671616325	1354,009223	0,179720435	0,0213002	0,003828081
judge	4507	128	14	2,507759522	320,9932189	0,028400266	0,003106279	8,82192E-05
judgment	4507	50	2	3,352857562	167,6428781	0,011093854	0,000443754	4,92294E-06
lamp	4507	312	33	2,135373618	666,2365689	0,069225649	0,007321944	0,000506866
landmark	4507	265	15	2,477796299	656,6160192	0,058797426	0,003328156	0,000195687
lane	4507	425	54	1,921493798	816,6348643	0,094297759	0,011981362	0,001129816
laser	4507	1186	138	1,514008472	1795,614047	0,263146217	0,030619037	0,008057284
latch	4507	577	67	1,827812755	1054,64796	0,128023075	0,014865764	0,001903161
lateral	4507	1118	207	1,337917213	1495,791444	0,248058576	0,045928556	0,011392972
layer	4507	4416	311	1,161127169	5127,537578	0,979809186	0,069003772	0,06761053
lead	4507	216	42	2,030638268	438,6178658	0,047925449	0,009318837	0,000446609
left	4507	1314	214	1,323473785	1739,044553	0,291546483	0,047481695	0,013843121
length	4507	3563	646	0,84365504	3005,942908	0,790548036	0,143332594	0,113311301
lens	4507	39385	1853	0,386012139	15203,08808	8,7386288	0,411138229	3,592784372
level	4507	3509	417	1,033751503	3627,434024	0,778566674	0,092522742	0,072035124
lever	4507	394	41	2,041103701	804,1948583	0,08741957	0,00909696	0,000795252
light	4507	19132	1459	0,489832266	9371,470917	4,244952296	0,32371866	1,374170269
limit	4507	987	201	1,350691501	1333,132511	0,218992678	0,044597293	0,009766481
linear	4507	907	191	1,372854191	1245,178751	0,201242512	0,042378522	0,00852836
link	4507	913	133	1,530035917	1396,922792	0,202573774	0,029509652	0,005977882
linkage	4507	216	29	2,19148956	473,361745	0,047925449	0,006434435	0,000308373
liquid	4507	704	113	1,600809115	1126,969617	0,156201464	0,02507211	0,0039163
list	4507	204	47	1,9817897	404,2850988	0,045262924	0,010428223	0,000472012
live	4507	787	83	1,734809466	1365,29505	0,174617262	0,018415798	0,003215716
load	4507	479	96	1,671616325	800,7042197	0,106279121	0,0213002	0,002263767
locate	4507	3469	863	0,717876762	2490,314489	0,769691591	0,19147992	0,147380484
location	4507	6101	735	0,787600219	4805,148936	1,353672066	0,163079654	0,220756372
lock	4507	1396	177	1,405914292	1962,656351	0,309740404	0,039272243	0,0121642
logic	4507	672	116	1,589429569	1068,09667	0,149101398	0,025737741	0,003837533
loop	4507	396	60	1,875736308	742,7915778	0,087863324	0,013312625	0,001169691
luminance	4507	585	64	1,847707584	1080,908937	0,129798092	0,014200133	0,00184315
machine	4507	798	135	1,52355379	1215,795924	0,17705791	0,029953406	0,005303487
magnet	4507	3387	256	1,245647593	4219,008397	0,75149767	0,056800533	0,042685468
magnification	4507	915	87	1,714368305	1568,646999	0,203017528	0,019303306	0,003918909
magnitude	4507	443	98	1,662661482	736,5590367	0,098291546	0,021743954	0,002137247
maintain	4507	711	295	1,184065542	841,8706004	0,157754604	0,065453739	0,010325629
management	4507	270	57	1,898012702	512,4634296	0,059906812	0,012646994	0,000757641
manipulate	4507	212	47	1,9817897	420,1394164	0,047037941	0,010428223	0,000490522
manner	4507	688	262	1,235586267	850,0833515	0,152651431	0,058131795	0,008873902
manual	4507	233	64	1,847707584	430,5158671	0,05169736	0,014200133	0,000734109
manufacturing	4507	543	159	1,452490434	788,7023055	0,120479254	0,035278456	0,004250322
mark	4507	556	99	1,658252363	921,9883141	0,123363657	0,021965831	0,002709785
marker	4507	1247	84	1,729608272	2156,821515	0,276680719	0,018637675	0,005156685
mask	4507	936	94	1,680759704	1573,191083	0,207676947	0,020856446	0,004331403
master	4507	570	36	2,097585057	1195,623483	0,126469936	0,007987575	0,001010188
match	4507	2125	352	1,107344895	2353,107901	0,471488795	0,078100732	0,03682362
mate	4507	450	80	1,750797571	787,858907	0,099844686	0,017750166	0,00177226
material	4507	2633	524	0,934556271	2460,686662	0,584202352	0,11626359	0,067921463
matrix	4507	1122	168	1,428578276	1602,864826	0,248946084	0,037275349	0,009279552
maximum	4507	965	210	1,331668263	1285,059874	0,214111382	0,046594187	0,009976346
measure	4507	2646	424	1,026521701	2716,176422	0,587086754	0,094075882	0,055230704
measurement	4507	2017	265	1,230641684	2482,204277	0,447526071	0,058797426	0,026313381
mechanical	4507	369	116	1,589429569	586,4995109	0,081872643	0,025737741	0,002107217
mechanism	4507	2296	327	1,139339805	2615,924193	0,509429776	0,072553805	0,036961069
media	4507	1256	155	1,46355586	1838,22616	0,278677613	0,034390947	0,009583987
medium	4507	3156	738	0,785831196	2480,083255	0,700244065	0,163745285	0,114661664
member	4507	11693	608	0,869983979	10172,72266	2,594408698	0,134901265	0,349989014
memory	4507	3897	871	0,713869403	2781,949064	0,864654981	0,193254937	0,167098844
message	4507	577	91	1,694846166	977,9262376	0,128023075	0,020190814	0,00258489
metadata	4507	535	56	1,905699531	1019,549249	0,118704238	0,012425116	0,001474914
metal	4507	956	190	1,375133957	1314,628063	0,212114489	0,042156645	0,008942035
method	4507	25889	2697	0,223006612	5773,418168	5,744175727	0,598402485	3,437329029
microlens	4507	292	37	2,085685834	609,0202635	0,064788107	0,008209452	0,000531875
microphone	4507	1037	139	1,510872758	1566,77505	0,230086532	0,030840914	0,007096079
middle	4507	264	66	1,834343623	484,2667163	0,058575549	0,014643887	0,000857774
minimum	4507	546	145	1,492519556	814,9156775	0,121144886	0,032172177	0,003897495
mirror	4507	3003	210	1,331668263	3998,999795	0,666296872	0,046594187	0,031045561
mobile	4507	4305	354	1,104884296	4756,526894	0,95518083	0,078544486	0,075024188
mode	4507	5115	422	1,028575107	5261,161673	1,134901265	0,093632128	0,10626322
model	4507	2721	240	1,273676316	3465,673257	0,603727535	0,053250499	0,032148793
modify	4507	761	163	1,441699954	1097,133665	0,168848458	0,036165964	0,006106567
modular	4507	527	41	2,041103701	1075,661651	0,116929221	0,00909696	0,0010637
modulate	4507	332	64	1,847707584	613,4389179	0,073663191	0,014200133	0,001046027
modulation	4507	423	59	1,883035546	796,5240361	0,093854005	0,013090748	0,001228619
module	4507	17718	1140	0,596982707	10577,3396	3,931218105	0,252939871	0,994361802
mold	4507	510	94	1,680759704	857,1874493	0,113157311	0,020856446	0,002360059
monitor	4507	2402	333	1,131443325	2717,726866	0,532948746	0,073885068	0,039376954
motion	4507	4798	423	1,027547191	4930,171421	1,06456623	0,093854005	0,099913804
motor	4507	2330	293	1,187019938	2765,756455	0,516973597	0,065009984	0,033608445
mount	4507	13227	1232	0,56327685	7450,462898	2,934768138	0,273352563	0,802226392
movable	4507	2632	346	1,114811459	2934,183761	0,583980475	0,07676947	0,044831871
move	4507	3441	781	0,761236524	2619,41488	0,763479033	0,173286	0,132300227
moveable	4507	417	78	1,761792955	734,6676624	0,092522742	0,017306412	0,001601237
movement	4507	4099	669	0,82846144	3395,863444	0,909474151	0,148435767	0,134998493
moving	4507	4323	613	0,866427084	3745,564282	0,959174617	0,13601065	0,130457963
multiple	4507	2198	486	0,967251289	2126,018333	0,487685822	0,107832261	0,052588265
navigation	4507	266	55	1,913524869	508,997615	0,059019303	0,012203239	0,000720227
neighboring	4507	283	53	1,929611688	546,0801078	0,062791214	0,011759485	0,000738392
network	4507	2496	282	1,20363845	3004,281571	0,553805192	0,062569337	0,034651223
node	4507	571	53	1,929611688	1101,808274	0,126691813	0,011759485	0,001489831
noise	4507	687	132	1,533313627	1053,386462	0,152429554	0,029287775	0,004464322
notification	4507	400	83	1,734809466	693,9237863	0,088750832	0,018415798	0,001634417
object	4507	15089	1150	0,593189718	8950,639651	3,347903262	0,255158642	0,85424645
objective	4507	919	72	1,796555062	1651,034102	0,203905037	0,01597515	0,003257413
observation	4507	426	29	2,19148956	933,5745526	0,094519636	0,006434435	0,00060818
observe	4507	251	64	1,847707584	463,7746036	0,055691147	0,014200133	0,000790822
occur	4507	505	181	1,396208983	705,0855365	0,112047925	0,040159751	0,004499817
offset	4507	1263	221	1,309495284	1653,892544	0,280230752	0,049034835	0,013741069
omega	4507	39	13	2,539944206	99,05782402	0,008653206	0,002884402	2,49593E-05
opaque	4507	262	51	1,946317382	509,9351541	0,058131795	0,011315731	0,000657804
open	4507	4203	657	0,836322189	3515,062158	0,932549368	0,145773242	0,135940744
opening	4507	265	79	1,756260467	465,4090237	0,058797426	0,017528289	0,001030618
operable	4507	1175	265	1,230641684	1446,003979	0,260705569	0,058797426	0,015328816
operate	4507	2612	660	0,834343623	2179,305542	0,579542933	0,146438873	0,084867614
operation	4507	5694	798	0,751884667	4281,231292	1,263368094	0,17705791	0,223689314
operative	4507	200	46	1,991129726	398,2259453	0,044375416	0,010206346	0,000452911
operator	4507	410	83	1,734809466	711,2718809	0,090969603	0,018415798	0,001675278
opposite	4507	1936	642	0,84635253	1638,538498	0,429554027	0,142445085	0,06118786
optical	4507	16475	1390	0,510872758	8416,628685	3,655424895	0,308409141	1,127366453
optics	4507	886	124	1,560465873	1382,572763	0,196583093	0,027512758	0,005408543
order	4507	1299	465	0,986434605	1281,378552	0,288218327	0,103172842	0,029736304
orient	4507	590	185	1,38671583	818,1623395	0,130907477	0,04104726	0,005373393
orientation	4507	3352	419	1,031673535	3458,16969	0,743731972	0,092966497	0,069142156
orthogonal	4507	587	165	1,436403614	843,1689213	0,130241846	0,036609718	0,004768117
outer	4507	3278	519	0,9387202	3077,124816	0,727313069	0,115154205	0,083753158
output	4507	7498	898	0,700611221	5253,182938	1,663634347	0,199245618	0,331471853
overlap	4507	1944	392	1,060601491	2061,809299	0,431329044	0,086975815	0,037515195
overlay	4507	369	73	1,790564698	660,7183735	0,081872643	0,016197027	0,001326093
package	4507	442	58	1,890459565	835,5831275	0,098069669	0,012868871	0,001262046
packet	4507	348	28	2,206729527	767,9418753	0,077213224	0,006212558	0,000479692
pane	4507	173	16	2,449767575	423,8097905	0,038384735	0,003550033	0,000136267
panel	4507	773	116	1,589429569	1228,629057	0,171510983	0,025737741	0,004414305
panoramic	4507	1085	78	1,761792955	1911,545357	0,240736632	0,017306412	0,004166287
parallax	4507	778	76	1,773073966	1379,451545	0,172620368	0,016862658	0,002910838
parallel	4507	1753	561	0,904924697	1586,332994	0,388950521	0,124473042	0,048413855
parameter	4507	3985	391	1,061710801	4230,917541	0,884180164	0,086753938	0,076706111
park	4507	285	34	2,122408641	604,8864627	0,063234968	0,007543821	0,000477033
partial	4507	649	89	1,704497551	1106,218911	0,143998225	0,01974706	0,002843542
partially	4507	1080	325	1,142004197	1233,364533	0,239627247	0,072110051	0,017279533
participant	4507	354	17	2,423438637	857,8972774	0,078544486	0,00377191	0,000296263
partition	4507	111	27	2,222523794	246,7001411	0,024628356	0,005990681	0,000147541
pass	4507	1910	529	0,930431886	1777,124902	0,423785223	0,117372975	0,049740933
passage	4507	370	47	1,9817897	733,2621891	0,08209452	0,010428223	0,0008561
patch	4507	433	22	2,311464877	1000,864292	0,096072776	0,004881296	0,00046896
path	4507	2655	382	1,071824195	2845,693238	0,589083648	0,084757045	0,049928989
patient	4507	530	37	2,085685834	1105,413492	0,117594852	0,008209452	0,000965389
pattern	4507	4333	417	1,033751503	4479,245263	0,961393388	0,092522742	0,088950753
peak	4507	352	55	1,913524869	673,5607537	0,078100732	0,012203239	0,000953082
perform	4507	5942	1457	0,490428006	2914,123213	1,31839361	0,323274906	0,42620357
perimeter	4507	392	82	1,740073706	682,1088926	0,086975815	0,018193921	0,001582431
period	4507	2125	317	1,152828296	2449,760129	0,471488795	0,070335034	0,033162181
peripheral	4507	1178	162	1,444372544	1701,470856	0,2613712	0,035944087	0,009394749
periphery	4507	548	168	1,428578276	782,8608954	0,12158864	0,037275349	0,004532259
permanent	4507	188	31	2,162525864	406,5548625	0,041712891	0,006878189	0,000286909
permit	4507	335	131	1,536616262	514,7664479	0,074328822	0,029065897	0,002160434
perpendicular	4507	1253	426	1,024477959	1283,670883	0,278011981	0,094519636	0,026277591
person	4507	778	118	1,582005551	1230,800318	0,172620368	0,026181495	0,004519459
perspective	4507	453	82	1,740073706	788,2533887	0,100510317	0,018193921	0,001828677
phase	4507	856	114	1,596982707	1367,017197	0,189926781	0,025293987	0,004804006
phone	4507	604	160	1,449767575	875,6596156	0,134013756	0,035500333	0,004757533
photo	4507	602	108	1,620463803	975,5192092	0,133570002	0,023962725	0,003200701
photodetector	4507	228	24	2,273676316	518,3982001	0,050587974	0,00532505	0,000269383
photodiode	4507	168	40	2,051827567	344,7070312	0,037275349	0,008875083	0,000330822
photoelectric	4507	1933	147	1,486570223	2873,540242	0,428888396	0,032615931	0,013988594
photograph	4507	2125	217	1,317427824	2799,534126	0,471488795	0,048147326	0,022700925
photographic	4507	354	55	1,913524869	677,3878035	0,078544486	0,012203239	0,000958497
photography	4507	219	45	2,000675044	438,1478347	0,048591081	0,009984469	0,000485156
photosensitive	4507	350	39	2,062822951	721,9880329	0,077656978	0,008653206	0,000671982
photosensor	4507	479	40	2,051827567	982,8254045	0,106279121	0,008875083	0,000943236
physical	4507	1137	175	1,410849509	1604,135892	0,25227424	0,038828489	0,009795428
pick	4507	204	31	2,162525864	441,1552763	0,045262924	0,006878189	0,000311327
pickup	4507	1022	88	1,709404886	1747,011793	0,226758376	0,019525183	0,004427499
picture	4507	1536	163	1,441699954	2214,451129	0,340803195	0,036165964	0,012325476
piece	4507	568	133	1,530035917	869,0604009	0,126026181	0,029509652	0,003718989
piezoelectric	4507	233	31	2,162525864	503,8685264	0,05169736	0,006878189	0,000355584
pitch	4507	478	104	1,636854219	782,4163166	0,106057244	0,023075216	0,002447294
pivot	4507	811	127	1,550083837	1257,117992	0,179942312	0,028178389	0,005070484
pixel	4507	16738	876	0,711383452	11907,13622	3,713778567	0,194364322	0,721826054
planar	4507	947	177	1,405914292	1331,400834	0,210117595	0,039272243	0,008251789
plane	4507	4679	622	0,860097173	4024,394674	1,038162858	0,138007544	0,143274306
plate	4507	3648	349	1,111062131	4053,154654	0,809407588	0,077435101	0,062676558
platform	4507	701	76	1,773073966	1242,92485	0,155535833	0,016862658	0,002622748
player	4507	127	17	2,423438637	307,7767069	0,028178389	0,00377191	0,000106286
plug	4507	318	49	1,963691478	624,45389	0,070556911	0,010871977	0,000767093
plural	4507	386	69	1,815038467	700,6048484	0,085644553	0,015309519	0,001311177
plurality	4507	23949	2159	0,319634916	7654,936597	5,313734191	0,479032616	2,54545199
point	4507	10133	893	0,703036099	7123,864793	2,248280453	0,198136233	0,445465819
polarization	4507	229	26	2,23891421	512,7113541	0,050809851	0,005768804	0,000293112
polarize	4507	145	26	2,23891421	324,6425605	0,032172177	0,005768804	0,000185595
pole	4507	324	41	2,041103701	661,3175992	0,071888174	0,00909696	0,000653964
port	4507	815	115	1,593189718	1298,44962	0,18082982	0,025515864	0,004614029
portable	4507	1404	202	1,348536189	1893,344809	0,31151542	0,04481917	0,013961863
portion	4507	22406	1665	0,43247332	9689,997213	4,971377857	0,369425338	1,836552947
pose	4507	1939	93	1,68540461	3267,999538	0,430219658	0,020634568	0,008877397
position	4507	21878	2193	0,312848926	6844,508812	4,854226758	0,486576437	2,361952359
positional	4507	349	64	1,847707584	644,8499468	0,077435101	0,014200133	0,001099589
post	4507	264	48	1,972646321	520,7786287	0,058575549	0,0106501	0,000623835
posture	4507	324	31	2,162525864	700,65838	0,071888174	0,006878189	0,00049446
potential	4507	784	99	1,658252363	1300,069853	0,173951631	0,021965831	0,003820992
power	4507	5489	665	0,831065913	4561,720795	1,217883293	0,147548258	0,179696559
predetermine	4507	5008	909	0,695323675	3482,180964	1,111160417	0,201686266	0,224105795
predict	4507	446	63	1,854547009	827,1279658	0,098957178	0,013978256	0,001383249
presence	4507	362	86	1,719389107	622,4188567	0,080319503	0,019081429	0,001532611
preset	4507	1175	128	1,546677588	1817,346166	0,260705569	0,028400266	0,007404108
press	4507	381	92	1,690099731	643,9279974	0,084535168	0,020412691	0,00172559
pressure	4507	363	97	1,667115824	605,163044	0,08054138	0,021522077	0,001733418
prevent	4507	640	274	1,216136995	778,327677	0,142001331	0,06079432	0,008632874
preview	4507	1196	94	1,680759704	2010,188607	0,265364988	0,020856446	0,00553457
primary	4507	962	84	1,729608272	1663,883158	0,213445751	0,018637675	0,003978132
principal	4507	148	34	2,122408641	314,1164789	0,032837808	0,007543821	0,000247723
print	4507	1646	246	1,262952451	2078,819734	0,365209674	0,054581762	0,019933787
printer	4507	53	11	2,612494873	138,4622283	0,011759485	0,002440648	2,87008E-05
priority	4507	277	42	2,030638268	562,4868001	0,061459951	0,009318837	0,000572735
prism	4507	635	68	1,821378645	1156,57544	0,140891946	0,015087641	0,002125727
probe	4507	482	27	2,222523794	1071,256469	0,106944753	0,005990681	0,000640672
process	4507	3519	781	0,761236524	2678,791329	0,780785445	0,173286	0,135299186
processing	4507	7667	1093	0,615267396	4717,255126	1,701131573	0,242511649	0,412544222
processor	4507	11013	1516	0,473188357	5211,223373	2,443532283	0,336365653	0,821920333
produce	4507	1490	400	1,051827567	1567,223074	0,330596849	0,088750832	0,029340745
product	4507	926	195	1,363852947	1262,927829	0,205458176	0,043266031	0,00888936
profile	4507	673	102	1,645287386	1107,278411	0,149323275	0,022631462	0,003379404
